Format Version,1.23,Take Name,Test001_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-01-28 10.35.53.020 AM,Capture Start Frame,220955,Total Frames in Take,2508,Total Exported Frames,2508,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Left_Upper_Arm,Left_Upper_Arm,Left_Upper_Arm,Left_Upper_Arm,Left_Upper_Arm,Left_Upper_Arm,Left_Upper_Arm,Left_Upper_Arm,"Left_Upper_Arm:Marker1","Left_Upper_Arm:Marker1","Left_Upper_Arm:Marker1","Left_Upper_Arm:Marker1","Left_Upper_Arm:Marker2","Left_Upper_Arm:Marker2","Left_Upper_Arm:Marker2","Left_Upper_Arm:Marker2","Left_Upper_Arm:Marker3","Left_Upper_Arm:Marker3","Left_Upper_Arm:Marker3","Left_Upper_Arm:Marker3","Left_Upper_Arm:Marker4","Left_Upper_Arm:Marker4","Left_Upper_Arm:Marker4","Left_Upper_Arm:Marker4",Left_Hand,Left_Hand,Left_Hand,Left_Hand,Left_Hand,Left_Hand,Left_Hand,Left_Hand,"Left_Hand:Marker1","Left_Hand:Marker1","Left_Hand:Marker1","Left_Hand:Marker1","Left_Hand:Marker2","Left_Hand:Marker2","Left_Hand:Marker2","Left_Hand:Marker2","Left_Hand:Marker3","Left_Hand:Marker3","Left_Hand:Marker3","Left_Hand:Marker3","Left_Hand:Marker4","Left_Hand:Marker4","Left_Hand:Marker4","Left_Hand:Marker4",LEft_FRM,LEft_FRM,LEft_FRM,LEft_FRM,LEft_FRM,LEft_FRM,LEft_FRM,LEft_FRM,"LEft_FRM:Marker1","LEft_FRM:Marker1","LEft_FRM:Marker1","LEft_FRM:Marker1","LEft_FRM:Marker2","LEft_FRM:Marker2","LEft_FRM:Marker2","LEft_FRM:Marker2","LEft_FRM:Marker3","LEft_FRM:Marker3","LEft_FRM:Marker3","LEft_FRM:Marker3","LEft_FRM:Marker4","LEft_FRM:Marker4","LEft_FRM:Marker4","LEft_FRM:Marker4",LEft_FRM:Marker1,LEft_FRM:Marker1,LEft_FRM:Marker1,LEft_FRM:Marker2,LEft_FRM:Marker2,LEft_FRM:Marker2,LEft_FRM:Marker3,LEft_FRM:Marker3,LEft_FRM:Marker3,LEft_FRM:Marker4,LEft_FRM:Marker4,LEft_FRM:Marker4,Left_ARM:Left_Anterior_Shoulder,Left_ARM:Left_Anterior_Shoulder,Left_ARM:Left_Anterior_Shoulder,Left_ARM:Left_Lateral_Elbow,Left_ARM:Left_Lateral_Elbow,Left_ARM:Left_Lateral_Elbow,Left_ARM:Left_Midline_Wrist,Left_ARM:Left_Midline_Wrist,Left_ARM:Left_Midline_Wrist,Left_Hand:Marker1,Left_Hand:Marker1,Left_Hand:Marker1,Left_Hand:Marker2,Left_Hand:Marker2,Left_Hand:Marker2,Left_Hand:Marker3,Left_Hand:Marker3,Left_Hand:Marker3,Left_Hand:Marker4,Left_Hand:Marker4,Left_Hand:Marker4,Left_Upper_Arm:Marker1,Left_Upper_Arm:Marker1,Left_Upper_Arm:Marker1,Left_Upper_Arm:Marker2,Left_Upper_Arm:Marker2,Left_Upper_Arm:Marker2,Left_Upper_Arm:Marker3,Left_Upper_Arm:Marker3,Left_Upper_Arm:Marker3,Left_Upper_Arm:Marker4,Left_Upper_Arm:Marker4,Left_Upper_Arm:Marker4,Unlabeled 1234,Unlabeled 1234,Unlabeled 1234,Unlabeled 1235,Unlabeled 1235,Unlabeled 1235,Unlabeled 1236,Unlabeled 1236,Unlabeled 1236,Unlabeled 1237,Unlabeled 1237,Unlabeled 1237,Unlabeled 1238,Unlabeled 1238,Unlabeled 1238,Unlabeled 1239,Unlabeled 1239,Unlabeled 1239,Unlabeled 1240,Unlabeled 1240,Unlabeled 1240
,ID,"56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","56797247BDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","821E5E6FBDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","A456B705BDF011EEC3B288388EF47BB7","C9090","C9090","C9090","C92D0","C92D0","C92D0","C91F0","C91F0","C91F0","C9200","C9200","C9200","33C52FB0BDF311EEC3B288388EF47BB7","33C52FB0BDF311EEC3B288388EF47BB7","33C52FB0BDF311EEC3B288388EF47BB7","33C52FB1BDF311EEC3B288388EF47BB7","33C52FB1BDF311EEC3B288388EF47BB7","33C52FB1BDF311EEC3B288388EF47BB7","33C52FB2BDF311EEC3B288388EF47BB7","33C52FB2BDF311EEC3B288388EF47BB7","33C52FB2BDF311EEC3B288388EF47BB7","C8EC0","C8EC0","C8EC0","C8D40","C8D40","C8D40","C9260","C9260","C9260","C92C0","C92C0","C92C0","C8C20","C8C20","C8C20","C88D0","C88D0","C88D0","C9030","C9030","C9030","C9160","C9160","C9160","C9310","C9310","C9310","C9340","C9340","C9340","C9330","C9330","C9330","C9360","C9360","C9360","C9380","C9380","C9380","C93C0","C93C0","C93C0","C93D0","C93D0","C93D0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.052512,0.044148,0.290681,-0.954357,0.242423,1.430718,0.174263,0.000197,0.228010,1.401446,0.184756,0.970959,0.194952,1.433389,0.159823,0.951664,0.269039,1.462481,0.177443,0.960503,0.277692,1.425558,0.175031,0.940563,0.446315,0.336205,-0.449811,0.696734,-0.199734,1.462729,0.127802,0.000316,-0.230581,1.484345,0.127490,0.976158,-0.166068,1.480929,0.123539,0.881314,-0.223994,1.453264,0.131772,0.966782,-0.178294,1.432377,0.128409,0.894649,-0.196016,-0.130091,0.458266,-0.857115,-0.001549,1.416643,0.148350,0.000313,-0.035779,1.433676,0.148081,0.966937,0.020446,1.396596,0.145415,0.936065,0.024252,1.435158,0.156463,0.947015,-0.015114,1.401143,0.143440,0.909728,-0.035721,1.433782,0.148028,0.020245,1.396712,0.145308,0.024082,1.435033,0.156472,-0.014800,1.401045,0.143590,0.348740,1.461501,0.196960,0.104286,1.409767,0.146025,-0.131012,1.448904,0.135795,-0.230541,1.484372,0.127572,-0.166270,1.480499,0.123544,-0.223933,1.453259,0.131654,-0.178193,1.432785,0.128440,0.228044,1.401404,0.184653,0.195118,1.433397,0.159921,0.269035,1.462607,0.177349,0.277497,1.425465,0.175130,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.056377,0.043786,0.290129,-0.954321,0.242472,1.430522,0.174426,0.000266,0.228084,1.401152,0.184674,0.985371,0.195020,1.433235,0.159929,0.960320,0.269038,1.462297,0.177888,0.921856,0.277747,1.425406,0.175212,0.916324,0.448577,0.336243,-0.446790,0.697207,-0.199786,1.461787,0.127528,0.000352,-0.230698,1.483308,0.127164,0.893895,-0.166156,1.480114,0.123520,0.859744,-0.224035,1.452227,0.131331,0.864623,-0.178252,1.431500,0.128096,0.837294,-0.195505,-0.129703,0.457656,-0.857616,-0.001431,1.415972,0.148337,0.000364,-0.035686,1.432953,0.148028,0.957446,0.020595,1.395954,0.145441,0.913548,0.024338,1.434535,0.156442,0.942220,-0.014971,1.400445,0.143439,0.918075,-0.035548,1.433040,0.147979,0.020360,1.396194,0.145362,0.024179,1.434367,0.156439,-0.014715,1.400286,0.143570,0.348725,1.461434,0.196947,0.104428,1.409368,0.146104,-0.131022,1.447991,0.135800,-0.230608,1.483360,0.127575,-0.166310,1.479603,0.123346,-0.224080,1.452113,0.130803,-0.178144,1.432072,0.128386,0.228097,1.401201,0.184702,0.195134,1.433125,0.159918,0.269137,1.462576,0.177988,0.277522,1.425187,0.175095,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.055527,0.043670,0.289518,-0.954562,0.242515,1.430302,0.174437,0.000256,0.228170,1.400930,0.184743,0.985371,0.195050,1.432932,0.159967,0.960320,0.269043,1.462115,0.177830,0.921856,0.277796,1.425230,0.175208,0.916324,0.445676,0.336764,-0.449262,0.697228,-0.199651,1.460838,0.127688,0.000276,-0.230544,1.482388,0.127381,0.893895,-0.166026,1.479109,0.123398,0.859744,-0.223888,1.451323,0.131675,0.864623,-0.178145,1.430532,0.128297,0.837294,-0.196006,-0.129547,0.456513,-0.858135,-0.001343,1.415299,0.148301,0.000341,-0.035636,1.432203,0.147960,0.957446,0.020732,1.395332,0.145417,0.913548,0.024374,1.433914,0.156454,0.942220,-0.014841,1.399746,0.143373,0.918075,-0.035536,1.432284,0.147901,0.020522,1.395632,0.145352,0.024274,1.433704,0.156449,-0.014631,1.399575,0.143501,0.348821,1.461187,0.196899,0.104481,1.408627,0.145897,-0.130987,1.447244,0.135818,-0.230550,1.482409,0.127545,-0.166149,1.478614,0.123361,-0.223918,1.451319,0.131466,-0.177985,1.431009,0.128378,0.228231,1.400967,0.184796,0.195160,1.432854,0.159935,0.269120,1.462388,0.177934,0.277548,1.424997,0.175083,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.050262,0.043261,0.289754,-0.954801,0.242546,1.429977,0.174272,0.000281,0.228220,1.400719,0.184921,0.960480,0.195027,1.432501,0.159961,0.925366,0.269110,1.461802,0.177250,0.949284,0.277827,1.424887,0.174956,0.915554,0.448731,0.336646,-0.445640,0.697650,-0.199666,1.459824,0.127436,0.000325,-0.230627,1.481275,0.127065,0.891745,-0.166075,1.478230,0.123476,0.875211,-0.223897,1.450206,0.131208,0.860901,-0.178065,1.429585,0.127995,0.847699,-0.195725,-0.130097,0.456186,-0.858289,-0.001274,1.414514,0.148260,0.000336,-0.035584,1.431385,0.147955,0.958833,0.020817,1.394570,0.145352,0.934309,0.024432,1.433154,0.156387,0.930278,-0.014762,1.398948,0.143345,0.914165,-0.035536,1.431534,0.147903,0.020678,1.394775,0.145264,0.024249,1.432944,0.156377,-0.014488,1.398806,0.143495,0.348817,1.461107,0.196890,0.104584,1.408093,0.145903,-0.130999,1.446206,0.135619,-0.230547,1.481318,0.127488,-0.166196,1.477784,0.123289,-0.223918,1.450088,0.130665,-0.178004,1.430108,0.128301,0.228332,1.400668,0.184821,0.195296,1.432569,0.160071,0.269012,1.461933,0.177128,0.277544,1.424740,0.175066,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.049773,0.043566,0.288969,-0.955051,0.242580,1.429708,0.174258,0.000283,0.228297,1.400440,0.184937,0.960480,0.195063,1.432140,0.159927,0.925366,0.269093,1.461578,0.177206,0.949284,0.277869,1.424674,0.174960,0.915554,0.449560,0.336153,-0.445053,0.697728,-0.199581,1.458688,0.127457,0.000359,-0.230539,1.480143,0.127046,0.891745,-0.165980,1.477095,0.123584,0.875211,-0.223821,1.449069,0.131171,0.860901,-0.177985,1.428446,0.128028,0.847699,-0.196069,-0.129353,0.454966,-0.858971,-0.001145,1.413754,0.148251,0.000339,-0.035493,1.430544,0.147868,0.958833,0.021000,1.393861,0.145394,0.934309,0.024500,1.432454,0.156435,0.930278,-0.014585,1.398156,0.143306,0.914165,-0.035396,1.430623,0.147808,0.020821,1.394158,0.145330,0.024381,1.432222,0.156423,-0.014385,1.398013,0.143442,0.348820,1.461031,0.196893,0.104723,1.407633,0.146034,-0.130909,1.445370,0.135678,-0.230397,1.480270,0.127454,-0.166189,1.476642,0.123402,-0.223870,1.448889,0.130642,-0.177869,1.428953,0.128332,0.228404,1.400389,0.184829,0.195330,1.432205,0.160043,0.268999,1.461714,0.177080,0.277588,1.424525,0.175078,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.048718,0.045339,0.287323,-0.955519,0.242592,1.429273,0.174200,0.000236,0.228370,1.399995,0.184932,0.964236,0.195109,1.431509,0.159724,0.941497,0.268996,1.461236,0.177122,0.945248,0.277894,1.424353,0.175021,0.936037,0.441368,0.338527,-0.450650,0.698218,-0.199541,1.457633,0.127447,0.000413,-0.230510,1.479075,0.127220,0.952359,-0.166010,1.475991,0.122811,0.864269,-0.223718,1.448061,0.131661,0.928522,-0.177928,1.427405,0.128096,0.866305,-0.196809,-0.130234,0.454632,-0.858845,-0.001060,1.412919,0.148200,0.000283,-0.035420,1.429689,0.147880,0.954902,0.021094,1.393046,0.145283,0.945521,0.024579,1.431617,0.156407,0.948638,-0.014495,1.397323,0.143231,0.920616,-0.035341,1.429849,0.147851,0.020955,1.393192,0.145202,0.024409,1.431500,0.156410,-0.014264,1.397133,0.143338,0.348905,1.460786,0.196866,0.104767,1.406718,0.145936,-0.130849,1.444230,0.135568,-0.230465,1.479096,0.127404,-0.166217,1.475490,0.122774,-0.223592,1.448019,0.131407,-0.177892,1.427928,0.128202,0.228370,1.399894,0.184831,0.195314,1.431530,0.159834,0.268998,1.461424,0.177008,0.277687,1.424245,0.175125,,,,,,,,,,,,,,,,,,,,,
